State ID,State,Average Temp (F)
0,Alabama,63.755
1,Alaska,30.35214286
2,Arizona,59.97594937
3,Arkansas,61.04683544
4,California,59.25753425
5,Colorado,44.38858268
6,Connecticut,51.73333333
7,Delaware,57.18
8,District of Columbia,
9,Florida,73.95681818
10,Georgia,63.33548387
11,Hawaii,71.33846154
12,Idaho,44.14178082
13,Illinois,52.97777778
14,Indiana,53.69655172
15,Iowa,50.07326733
16,Kansas,56.13109244
17,Kentucky,57.12075472
18,Louisiana,67.90277778
19,Maine,45.552
20,Maryland,56.16190476
21,Massachusetts,51.07659574
22,Michigan,47.3984375
23,Minnesota,44.88548387
24,Mississippi,64.83478261
25,Missouri,56.04021739
26,Montana,42.82871287
27,Nebraska,51.36285714
28,Nevada,49.50990099
29,New Hampshire,46.3025641
30,New Jersey,54.95862069
31,New Mexico,53.48666667
32,New York,49.3159292
33,North Carolina,59.44779412
34,North Dakota,44
35,Ohio,53.1195122
36,Oklahoma,60.73883495
37,Oregon,49.12619048
38,Pennsylvania,52.01888889
39,Rhode Island,51.9
40,South Carolina,62.50625
41,South Dakota,47.78942308
42,Tennessee,58.42087912
43,Texas,66.12145749
44,Utah,46.32352941
45,Vermont,45.632
46,Virginia,57.14090909
47,Washington,47.70540541
48,West Virginia,53.33111111
49,Wisconsin,46.64266667
50,Wyoming,41.44
